Project,Job,Average,Standard deviation,Average speed,Average idle time,Start throughput,End throughput
exp_3,e1_01_1_1200-s1,147.123619,9.271238,11.398578,32.1198,1200.5,1177.5
exp_3,e1_01_1_1200-s2,146.757398,9.634227,11.427022,31.9162,1200.5,1176
exp_3,e1_01_1_1200-s3,146.559507,9.730642,11.442451,31.782,1200.5,1177
exp_3,e1_01_1_1200-s4,147.075287,9.122886,11.402323,32.2268,1200.5,1177
exp_3,e1_03_3_1200-s1,121.055161,14.332966,13.853189,14.7283,1200.5,1183.5
exp_3,e1_03_3_1200-s2,121.025498,14.694801,13.856584,14.9299,1200.5,1182
exp_3,e1_03_3_1200-s3,121.455061,14.735786,13.807576,15.0629,1200.5,1182
exp_3,e1_03_3_1200-s4,121.727719,14.447293,13.776649,15.0384,1200.5,1183.5
exp_3,e1_02_2_1200-s1,125.535339,13.004834,13.358788,16.7811,1200.5,1183
exp_3,e1_02_2_1200-s2,125.65834,12.711942,13.345712,16.6251,1200.5,1183.5
exp_3,e1_02_2_1200-s3,126.659643,13.134418,13.240208,17.1298,1200.5,1180
exp_3,e1_02_2_1200-s4,125.132314,13.031561,13.401814,16.7338,1200.5,1177.5
exp_3,e1_04_1_1800-s1,159.785456,13.991721,10.495323,42.5494,1271.5,1246
exp_3,e1_04_1_1800-s2,160.461538,13.873041,10.451103,42.9278,1267.5,1242.5
exp_3,e1_04_1_1800-s3,160.552723,14.175676,10.445167,42.981,1266,1240.5
exp_3,e1_04_1_1800-s4,160.00177,13.765561,10.481134,42.8288,1269,1245
exp_3,e1_05_1_2400-s1,160.209237,13.779379,10.467561,42.755,1271.5,1246.5
exp_3,e1_05_1_2400-s2,160.242937,13.652854,10.46536,42.781,1272,1246.5
exp_3,e1_05_1_2400-s3,160.19454,13.632571,10.468522,42.7268,1272,1247.5
exp_3,e1_05_1_2400-s4,160.248173,13.70912,10.465018,42.7158,1272,1246
exp_3,e1_06_2_1800-s1,135.039977,12.270804,12.418545,23.2912,1800.5,1768
exp_3,e1_06_2_1800-s2,135.358265,11.707619,12.389343,23.0985,1800.5,1765
exp_3,e1_06_2_1800-s3,135.143092,11.898868,12.409069,23.1706,1800.5,1767.5
exp_3,e1_06_2_1800-s4,136.025085,12.052446,12.328608,23.6614,1800.5,1767
exp_3,e1_07_1_1800_17-s1,139.471645,6.801539,12.023949,22.0249,1553,1521.5
exp_3,e1_07_1_1800_17-s2,139.337406,6.741957,12.035533,21.9014,1555.5,1523
exp_3,e1_07_1_1800_17-s3,139.452728,6.823437,12.02558,22.0227,1554,1523
exp_3,e1_07_1_1800_17-s4,139.401445,7.439395,12.030004,21.9655,1554,1524
exp_3,e1_08_2_2400-s1,160.395287,13.907802,10.455419,42.9184,2535.5,2486
exp_3,e1_08_2_2400-s2,160.135571,13.842919,10.472377,42.7395,2540,2491
exp_3,e1_08_2_2400-s3,160.25512,13.837038,10.464564,42.824,2537.5,2487.5
exp_3,e1_08_2_2400-s4,160.203902,13.72889,10.46791,42.826,2538,2488
exp_3,e1_09_2_2800-s1,160.176006,13.714203,10.469733,42.9177,2537,2487
exp_3,e1_09_2_2800-s2,160.439549,13.890514,10.452535,42.8931,2538.5,2486.5
exp_3,e1_09_2_2800-s3,160.487153,14.183372,10.449435,42.9557,2536.5,2484.5
exp_3,e1_09_2_2800-s4,160.176071,13.655182,10.469729,42.8112,2539.5,2490
exp_3,e1_10_1_1800_0-s1,116.993958,2.744702,14.334074,0.3145,1800.5,1773.5
exp_3,e1_10_1_1800_0-s2,117.114318,2.465053,14.319342,0.3572,1800.5,1772
exp_3,e1_10_1_1800_0-s3,117.079267,2.478987,14.323629,0.3083,1800.5,1775
exp_3,e1_10_1_1800_0-s4,117.150381,2.629125,14.314934,0.2862,1800.5,1775
exp_3,e1_11_3_3600-s1,147.066374,11.872616,11.403015,32.0643,3599,3534
exp_3,e1_11_3_3600-s2,147.582292,11.862328,11.363152,32.4579,3599,3533
exp_3,e1_11_3_3600-s3,147.986045,12.037556,11.33215,32.6393,3600,3531
exp_3,e1_11_3_3600-s4,147.915278,11.506125,11.337571,32.4936,3600.5,3529
exp_3,e1_13_1_1800_1-s1,116.992998,2.839127,14.334191,0.6884,1800.5,1773.5
exp_3,e1_13_1_1800_1-s2,117.162846,2.895515,14.313411,0.6761,1800.5,1773.5
exp_3,e1_13_1_1800_1-s3,117.231104,2.580268,14.305077,0.6829,1800.5,1772.5
exp_3,e1_13_1_1800_1-s4,117.385428,2.319781,14.286271,0.7006,1800.5,1772
